file,lat,lon,variables,start_time,end_time
MO_TS_TG_PaleaFokea.nc,37.71750259399414,23.945171356201172,"TIME_QC, SLEV, SLEV_QC, WDIR, WDIR_QC, WSPD, WSPD_QC, DRYT, DRYT_QC, RELH, RELH_QC, ATMS, ATMS_QC",2021-05-19 11:35:00.000000256,2022-12-31 23:00:00.000000000
MO_TS_TG_Paleochora.nc,35.23019027709961,23.68343734741211,"TIME_QC, SLEV, SLEV_QC",2013-06-21 08:00:00.000000000,2022-05-11 06:00:00.000000000
MO_TS_TG_Plimiri.nc,35.92729949951172,27.857500076293945,"TIME_QC, SLEV, SLEV_QC",2015-11-11 01:00:00.000000000,2023-09-01 11:00:00.000000000
MO_TS_TG_RMN-Ancona.nc,43.62480163574219,13.506500244140625,"TIME_QC, SLEV, SLEV_QC",1998-01-01 01:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Anzio.nc,41.4468994140625,12.63479995727539,"TIME_QC, SLEV, SLEV_QC",2010-04-07 04:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Bari.nc,41.140201568603516,16.865999221801758,"TIME_QC, SLEV, SLEV_QC",1998-07-27 14:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Cagliari.nc,39.210201263427734,9.114299774169922,"TIME_QC, SLEV, SLEV_QC",1998-12-15 14:00:00.000000000,2026-01-31 18:00:00.000000000
MO_TS_TG_RMN-Carloforte.nc,39.14799880981445,8.309499740600586,"TIME_QC, SLEV, SLEV_QC",1999-05-23 19:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Catania.nc,37.49810028076172,15.093799591064453,"TIME_QC, SLEV, SLEV_QC",1999-04-01 13:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Civitavecchia.nc,42.09400177001953,11.78969955444336,"TIME_QC, SLEV, SLEV_QC",1998-10-30 13:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Crotone.nc,39.08359909057617,17.137100219726562,"TIME_QC, SLEV, SLEV_QC",1999-04-23 19:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Gaeta.nc,41.209999084472656,13.589699745178223,"TIME_QC, SLEV, SLEV_QC",2010-06-24 01:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Genova.nc,44.410099029541016,8.92549991607666,"TIME_QC, SLEV, SLEV_QC",1998-12-11 19:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Ginostra.nc,38.784000396728516,15.193300247192383,"TIME_QC, SLEV, SLEV_QC",2010-10-31 16:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Imperia.nc,43.878299713134766,8.018899917602539,"TIME_QC, SLEV, SLEV_QC",1998-07-07 16:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Imperia2.nc,43.87834167480469,8.018799781799316,"TIME_QC, POSITION_QC, SLEV, SLEV_QC",2017-08-03 09:52:00.000000000,2020-10-06 06:06:00.000000000
MO_TS_TG_RMN-IsoleTremiti.nc,42.118900299072266,15.50160026550293,"TIME_QC, SLEV, SLEV_QC",2013-10-23 21:00:00.000000000,2025-08-12 12:00:00.000000000
MO_TS_TG_RMN-LaSpezia.nc,44.09659957885742,9.857600212097168,"TIME_QC, SLEV, SLEV_QC",2010-01-01 00:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Lampedusa.nc,35.499900817871094,12.604399681091309,"TIME_QC, SLEV, SLEV_QC",1999-03-08 06:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-LeCastella.nc,38.90840148925781,17.02869987487793,"TIME_QC, SLEV, SLEV_QC",2017-08-03 09:21:00.000000000,2017-12-31 22:41:00.000000000
MO_TS_TG_RMN-Livorno.nc,43.54629898071289,10.299300193786621,"TIME_QC, SLEV, SLEV_QC",1998-07-07 21:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-MarinaDiCampo.nc,42.74259948730469,10.238300323486328,"TIME_QC, SLEV, SLEV_QC",2011-07-21 22:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Messina.nc,38.1963005065918,15.56350040435791,"TIME_QC, SLEV, SLEV_QC",1999-01-14 03:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Napoli.nc,40.841400146484375,14.269200325012207,"TIME_QC, SLEV, SLEV_QC",1998-07-24 15:00:00.000000000,2026-01-30 14:00:00.000000000
MO_TS_TG_RMN-Ortona.nc,42.355899810791016,14.414899826049805,"TIME_QC, SLEV, SLEV_QC",1998-07-16 19:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Otranto.nc,40.14720153808594,18.497100830078125,"TIME_QC, SLEV, SLEV_QC",1998-07-06 16:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Palermo.nc,38.12139892578125,13.371299743652344,"TIME_QC, SLEV, SLEV_QC",1998-12-18 20:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Palinuro.nc,40.02989959716797,15.275300025939941,"TIME_QC, SLEV, SLEV_QC",1998-07-30 19:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Pantelleria.nc,36.834800720214844,11.936599731445312,"TIME_QC, SLEV, SLEV_QC",2017-08-08 12:06:00.000000000,2020-04-15 05:04:00.000000000
MO_TS_TG_RMN-Ponza.nc,40.895198822021484,12.96560001373291,"TIME_QC, SLEV, SLEV_QC",2011-07-10 22:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-PortoEmpedocle.nc,37.28580093383789,13.526800155639648,"TIME_QC, SLEV, SLEV_QC",1999-06-17 19:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-PortoTorres.nc,40.842201232910156,8.403900146484375,"TIME_QC, SLEV, SLEV_QC",1999-09-29 02:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-PortopaloDiCapoPassero.nc,36.66910171508789,15.12279987335205,"TIME_QC, SLEV, SLEV_QC",2017-08-03 09:53:00.000000000,2020-10-06 06:07:00.000000000
MO_TS_TG_RMN-Ravenna.nc,44.49209976196289,12.282699584960938,"TIME_QC, SLEV, SLEV_QC",1998-11-22 17:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-ReggioCalabria.nc,38.121700286865234,15.648900032043457,"TIME_QC, SLEV, SLEV_QC",1999-11-04 13:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-SBenedettoDelTronto.nc,42.955101013183594,13.889800071716309,"TIME_QC, SLEV, SLEV_QC",2010-06-18 07:00:00.000000000,2026-01-31 23:00:00.000000000
MO_TS_TG_RMN-Salerno.nc,40.67660140991211,14.750800132751465,"TIME_QC, SLEV, SLEV_QC",1999-07-29 17:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Sciacca.nc,37.50450134277344,13.076499938964844,"TIME_QC, SLEV, SLEV_QC",2012-06-21 19:00:00.000000000,2026-01-31 22:00:00.000000000
MO_TS_TG_RMN-Strombolicchio.nc,38.817298889160156,15.251700401306152,"TIME_QC, SLEV, SLEV_QC",2013-10-05 15:00:00.000000000,2025-08-09 12:00:00.000000000
